Nombre,Genero,Fecha Contratacion,Salario,Definitivo,Equipo
Douglas,Masculino,1993-08-06,0,True,Marketing
Craig,Masculino,2000-02-27,37598,True,Marketing
Todd,Masculino,1990-02-18,49339,True,RH
Steven,Masculino,1980-03-30,35095,True,TI
Paul,Masculino,1993-08-04,42146,False,Legal
CRHistopher,Masculino,2000-04-22,37919,False,
Henry,Masculino,1995-04-24,43542,False,Legal
Jeremy,Masculino,2000-06-08,49542,True,Distribucion
Kevin,Masculino,1982-03-25,35061,False,Legal
Robert,Masculino,1990-10-27,38041,True,Ingenieria
,Masculino,1999-11-25,42676,True,Ventas
Michael,Masculino,2002-01-24,43586,False,
Kevin,Masculino,1997-07-12,46080,False,Negocios
Jeremy,Masculino,1981-08-12,46930,True,Finanzas
Douglas,Masculino,2002-01-08,41428,False,Producto
Jeffrey,Masculino,1997-06-18,45150,True,Producto
Jeremy,Masculino,1994-05-29,47885,True,RH
Jeremy,Masculino,2001-08-09,43354,False,Marketing
Richard,Masculino,1997-07-04,47647,True,
Andrew,Masculino,1985-03-29,43414,True,TI
Michael,Masculino,1993-07-30,35013,False,Producto
Michael,Masculino,1988-07-13,47079,False,Legal
Roy,Masculino,2004-05-10,46875,True,Ventas
Steven,Masculino,1986-09-07,43252,False,TI
Antonio,Masculino,1999-06-06,41928,True,
Terry,Masculino,2004-11-10,35633,True,Distribucion
,Masculino,1986-10-24,47176,True,Finanzas
Lawrence,Masculino,1995-07-03,46378,False,
Raymond,Masculino,1986-12-12,47529,True,Producto
George,Masculino,1995-09-27,36749,False,Finanzas
Kenneth,Masculino,1985-12-14,47232,True,Legal
Phillip,Masculino,1984-10-07,36837,False,Marketing
Samuel,Masculino,1997-08-07,43694,True,Ingenieria
Albert,Masculino,1992-09-19,45094,True,Negocios
Bruce,Masculino,1980-05-07,35802,True,Ventas
Phillip,Masculino,1984-01-31,42392,False,Finanzas
